Appliances,T2,T6
60,19.2,7.026666667
60,19.2,6.833333333
50,19.2,6.56
50,19.2,6.433333333
60,19.2,6.366666667
50,19.2,6.3
60,19.2,6.263333333
60,19.2,6.19
60,19.2,6.123333333
70,19.23,6.19
230,19.35666667,6.19
580,19.42666667,6.123333333
430,19.56666667,6.123333333
250,19.73,6.0675
100,19.85666667,5.9
100,20.03333333,5.8
90,20.16666667,5.726666667
70,20.2,5.526666667
80,20.2,5.333333333
140,20.2,5.333333333
120,20.2,5.466666667
190,20.26,5.5
110,20.29,5.56
110,20.35666667,5.623333333
110,20.42666667,5.763333333
110,20.5,5.656666667
100,20.53333333,5.53
100,20.66666667,5.433333333
100,20.7,5.5
100,20.7,5.59
110,20.79,5.59
400,20.79,5.656666667
400,20.89,5.833333333
390,20.96333333,5.9
240,21,6
60,21,6
60,21,5.966666667
60,21,5.9
50,21,5.763333333
70,20.92666667,5.623333333
60,20.89,5.59
40,20.79,5.59
40,20.79,5.59
30,20.7,5.53
40,20.63333333,5.53
50,20.6,5.53
310,20.6,5.4
380,20.5,5.2
380,20.5,4.866666667
370,20.39,4.933333333
120,20.39,5
50,20.29,4.866666667
40,20.23,4.726666667
50,20.2,4.466666667
40,20.2,4.333333333
50,20.1,4.156666667
50,20.1,4.156666667
50,20,4.333333333
40,20,4.333333333
40,20,4.19
30,19.89,4.063333333
20,19.82333333,3.863333333
20,19.79,3.79
40,19.79,3.895
50,19.76,4.19
50,19.7,4.263333333
40,19.7,4.463333333
50,19.63333333,4.59
40,19.6,4.726666667
40,19.6,4.8
40,19.56666667,4.8
60,19.5,4.8
50,19.5,4.8
50,19.42666667,4.8
40,19.39,4.763333333
40,19.39,4.763333333
40,19.39,4.833333333
40,19.39,4.833333333
50,19.29,4.9
70,19.29,4.9975
40,19.29,5.09
30,19.29,5
20,19.218,5
30,19.2,4.966666667
40,19.2,4.9
50,19.2,4.933333333
60,19.2,4.933333333
60,19.175,5
70,19.1,5
60,19.1,5
140,19.1,5.06
110,19.06666667,5.09
90,19.02222222,5.09
60,19.1,5
60,19.03333333,4.793333333
60,19,4.466666667
50,19,4.2975
60,19,4.063333333
50,19,4.03
30,19,4.09
40,18.96333333,4.123333333
30,18.96333333,4.263333333
260,18.89,4.463333333
500,18.89,4.73
450,18.92666667,5.03
50,19,5.156666667
60,19.03333333,5.333333333
60,19.03333333,5.4
50,19.03333333,5.53
50,19.1,5.796666667
50,19.1,5.833333333
60,19.1,5.966666667
60,19.1,6.245
60,19.15,6.433333333
60,19.2,6.5
190,19.2,6.59
220,19.2,6.656666667
170,19.2,6.933333333
390,19.2,7.126666667
90,19.2,7.433333333
60,19.2,7.5
290,19.1,7.4
130,19.1,7.466666667
140,19.1,7.656666667
240,19.1,7.53
50,19.1,7.623333333
60,19.1,7.69
60,19.1,7.56
60,19.1,7.433333333
370,19.1,7.295
200,19.03333333,6.9
70,19,6.966666667
50,19,6.966666667
40,19,6.833333333
40,18.92666667,6.366666667
30,19.03333333,6.433333333
30,19.1,6.933333333
30,19.13333333,7
30,19.2,6.933333333
40,19.13636364,6.726666667
50,19.13,6.526666667
40,19.1,6.333333333
40,19.0375,6.123333333
40,19.00769231,6.19
60,19,6.156666667
60,19,6.09
210,18.99,6.09
380,18.90222222,6.06
370,18.89,5.933333333
230,18.89,5.526666667
80,18.85666667,5.26
90,18.85666667,5.06
70,18.92666667,4.933333333
40,19,4.933333333
40,19.2,5
30,19.245,4.9
50,19.29,4.9
50,19.37,4.866666667
60,19.39,4.866666667
50,19.39,4.933333333
60,19.39,4.933333333
60,19.39,4.626666667
60,19.39,4.4
50,19.35666667,4.366666667
50,19.29,4.53
50,19.29,4.59
50,19.26,4.56
50,19.2,4.366666667
